"OrganizationIdentifier","OrganizationFormalName","MonitoringLocationIdentifier","MonitoringLocationName","MonitoringLocationTypeName","MonitoringLocationDescriptionText","HUCEightDigitCode","DrainageAreaMeasure.MeasureValue","DrainageAreaMeasure.MeasureUnitCode","ContributingDrainageAreaMeasure.MeasureValue","ContributingDrainageAreaMeasure.MeasureUnitCode","LatitudeMeasure","LongitudeMeasure","SourceMapScaleNumeric","HorizontalAccuracyMeasure.MeasureValue","HorizontalAccuracyMeasure.MeasureUnitCode","HorizontalCollectionMethodName","HorizontalCoordinateReferenceSystemDatumName","VerticalMeasure.MeasureValue","VerticalMeasure.MeasureUnitCode","VerticalAccuracyMeasure.MeasureValue","VerticalAccuracyMeasure.MeasureUnitCode","VerticalCollectionMethodName","VerticalCoordinateReferenceSystemDatumName","CountryCode","StateCode","CountyCode","AquiferName","FormationTypeText","AquiferTypeName","ConstructionDateText","WellDepthMeasure.MeasureValue","WellDepthMeasure.MeasureUnitCode","WellHoleDepthMeasure.MeasureValue","WellHoleDepthMeasure.MeasureUnitCode","ProviderName"
"USGS-CO","USGS Colorado Water Science Center","USGS-390823108414800","ADOBE CREEK ABV INDEPENDENT RANCHMENS DITCH","Stream","",14010005,NA,"",NA,"",39.1397587,-108.6972093,24000,0.1,"seconds","Interpolated from MAP.","NAD83",4520,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390828108092701","TATE CK AT RD 48 NR MESA, CO","Stream","",14010005,NA,"",NA,"",39.1411722,-108.1575944,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",6140,"feet",40,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390828108372600","PERSIGO WASH ABV MAINLINE GRAND VALLEY CANAL","Stream","",14010005,NA,"",NA,"",39.1410086,-108.6245402,24000,0.1,"seconds","Interpolated from MAP.","NAD83",4596,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390830108441601","COLORADO RIVER NEAR FRUITA COLO.","Stream","",14010005,NA,"",NA,"",39.1416476,-108.738433,NA,1,"minutes","Interpolated from MAP.","NAD83",NA,"",NA,"","","","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390838108001501","COTTONWOOD CK AT UPPER MOLINA POWERPLANT NR MOLINA","Stream","",14010005,NA,"",NA,"",39.1438889,-108.0041667,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",7130,"feet",40,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390838108031701","BULL CK AT RD 52.2 NR MOLINA, CO","Stream","",14010005,NA,"",NA,"",39.1438556,-108.0548389,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",6690,"feet",40,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390844108371200","PERSIGO WASH NR CROWN POINT CEMETARY","Stream","",14010005,NA,"",NA,"",39.145453,-108.6205679,24000,0.1,"seconds","Interpolated from MAP.","NAD83",4621,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390847108370400","PERSIGO WASH BLW GRAND VALLEY CANAL NR FRUITA, COL","Stream","",14010005,NA,"",NA,"",39.1463419,-108.6184567,24000,0.1,"seconds","Interpolated from MAP.","NAD83",4626,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390849108370900","UNNAMED TRIB TO PERSIGO WASH AT J RD, SITE B","Stream","",14010005,NA,"",NA,"",39.1470363,-108.6197068,24000,0.1,"seconds","Interpolated from MAP.","NAD83",4626,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390850108364100","PERSIGO WASH BLW GRAND VALLEY CANAL SPILLWAY","Stream","",14010005,NA,"",NA,"",39.147203,-108.6120954,24000,0.1,"seconds","Interpolated from MAP.","NAD83",4641,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390850108364400","GRAND VALLEY CANAL SPILLWAY TO PERSIGO WASH NR JRD","Stream: Canal","",14010005,NA,"",NA,"",39.1473141,-108.613012,24000,0.1,"seconds","Interpolated from MAP.","NAD83",4852,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390852108364300","PERSIGO WASH AT GRAND VALLEY CANAL NR FRUITA, COLO","Stream","",14010005,NA,"",NA,"",39.1477585,-108.6125676,24000,0.1,"seconds","Interpolated from MAP.","NAD83",4652,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390853108431201","DRAINAGE DITCH AT 18 ROAD AND I-70,AT FRUITA","Stream: Ditch","",14010005,NA,"",NA,"",39.1480364,-108.7206546,24000,1,"seconds","Interpolated from MAP.","NAD83",4510,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390858108370900","UNNAMED TRI TO PERSIGO WASH AT J RD, SITE A","Stream","",14010005,NA,"",NA,"",39.1495085,-108.61979,24000,0.1,"seconds","Interpolated from MAP.","NAD83",4633,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390858108412800","ADOBE CREEK AT 19.5 RD AND J RD NR FRUITA, CO","Stream","",14010005,NA,"",NA,"",39.1495641,-108.6917647,24000,0.1,"seconds","Interpolated from MAP.","NAD83",4550,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390859108364101","PERSIGO WASH AT J ROAD","Stream","",14010005,NA,"",NA,"",39.1497029,-108.6120398,24000,1,"seconds","Interpolated from MAP.","NAD83",4720,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390860108363800","PERSIGO WASH TRIBUTARY AT J RD NEAR FRUITA, COLO","Stream","",14010005,NA,"",NA,"",39.1498696,-108.6112898,24000,0.1,"seconds","Interpolated from MAP.","NAD83",4655,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390903108364000","PERSIGO WASH TRIBUTARY NR 24 RD NR FRUITA, COLO","Stream","",14010005,NA,"",NA,"",39.1507029,-108.6117898,24000,0.1,"seconds","Interpolated from MAP.","NAD83",4658,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390905108364200","PERSIGO WASH NR 24 RD NR FRUITA, COLO","Stream","",14010005,NA,"",NA,"",39.1512863,-108.612262,24000,0.1,"seconds","Interpolated from MAP.","NAD83",4660,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390926108362600","PERSIGO WASH AT 24 RD NR FRUITA, COLO","Stream","",14010005,NA,"",NA,"",39.157064,-108.6079842,24000,0.1,"seconds","Interpolated from MAP.","NAD83",4696,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390926108410100","INFLOW TO ADOBE CREEK NR 20 RD NR FRUITA, CO","Stream","",14010005,NA,"",NA,"",39.157239,-108.6843478,24000,0.1,"seconds","Interpolated from MAP.","NAD83",4571,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390932108405500","ADOBE CREEK AT 20 RD NR FRUITA, CO","Stream","",14010005,NA,"",NA,"",39.1589807,-108.68257,24000,0.1,"seconds","Interpolated from MAP.","NAD83",4585,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390935107551101","LITTLE CK AT RD 60.75 NR COLLBRAN, CO","Stream","",14010005,NA,"",NA,"",39.1596167,-107.9196972,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",7475,"feet",40,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390938108443101","LITTLE SALT WASH AT HWY 50, AT FRUITA","Stream","",14010005,NA,"",NA,"",39.1605363,-108.7425998,24000,1,"seconds","Interpolated from MAP.","NAD83",4490,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390946108361100","PERSIGO WASH AT K RD BLW SF CONFLUENCE","Stream","",14010005,NA,"",NA,"",39.1627861,-108.6036229,24000,0.1,"seconds","Interpolated from MAP.","NAD83",4714,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390947108083901","TATE CK AT RD KE AT MESA, CO","Stream","",14010005,NA,"",NA,"",39.1630972,-108.1442694,24000,0.1,"seconds","Interpolated from Digital MAP.","NAD83",5690,"feet",40,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390949108083101","MESA CK AT RD KE AT MESA, CO","Stream","",14010005,NA,"",NA,"",39.163675,-108.1418833,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",5630,"feet",40,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390950108404500","ADOBE CREEK AT K RD NR FRUITA, CO","Stream","",14010005,NA,"",NA,"",39.1639806,-108.679931,24000,0.1,"seconds","Interpolated from MAP.","NAD83",4595,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390952108394501","HUNTER WASH AT 21 AND K ROADS","Stream","",14010005,NA,"",NA,"",39.164425,-108.6631527,24000,1,"seconds","Interpolated from MAP.","NAD83",4600,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390953108391701","HUNTER WASH AT K AND 21 1/2 ROADS","Stream","",14010005,NA,"",NA,"",39.1647028,-108.6553747,24000,1,"seconds","Interpolated from MAP.","NAD83",4620,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390956108361100","PERSIGO WASH AT K RD ABV SF CONFLUENCE","Stream","",14010005,NA,"",NA,"",39.1654527,-108.6036507,24000,0.1,"seconds","Interpolated from MAP.","NAD83",4723,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-390958108000601","MORMON MESA DITCH AT RD KK NR COLLBRAN, CO","Stream: Ditch","",14010005,NA,"",NA,"",39.1662028,-108.0015361,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",6850,"feet",40,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391012107581901","DEACON GULCH AT RD 58 NR PLATEAU CITY, CO","Stream","",14010005,NA,"",NA,"",39.1700667,-107.9720361,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",6820,"feet",40,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391015108454801","DITCH AT HWY 6 AND 50, NEAR FRUITA","Stream: Ditch","",14010005,NA,"",NA,"",39.170814,-108.7639895,24000,1,"seconds","Interpolated from MAP.","NAD83",4480,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391023108054401","SPRING CK AT RD KE 0.6 NR MESA, CO","Stream","",14010005,NA,"",NA,"",39.1731667,-108.0956389,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",5570,"feet",40,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391026108395100","ADOBE CREEK ABV GRAND VALLEY CANAL NR FRUITA, CO","Stream","",14010005,NA,"",NA,"",39.1739249,-108.6647083,24000,0.1,"seconds","Interpolated from MAP.","NAD83",4640,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391028108014901","COTTONWOOD CR AT RD 54.8 NR MOLINA, CO","Stream","",14010005,NA,"",NA,"",39.1743389,-108.0301861,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",6150,"feet",40,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391029108480200","REED WASH NEAR FRUITA, CO.","Stream","",14010005,NA,"",NA,"",39.174703,-108.801213,NA,1,"minutes","Interpolated from MAP.","NAD83",NA,"",NA,"","","","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391030108394701","ADOBE CREEK AT 21 ROAD","Stream","",14010005,NA,"",NA,"",39.1749805,-108.6637083,24000,1,"seconds","Interpolated from MAP.","NAD83",4630,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391035108482201","KIEFER EXTENSION GRAND VALLEY CANAL, BLW I-70","Stream: Ditch","",14010005,NA,"",NA,"",39.1763697,-108.8067689,24000,1,"seconds","Interpolated from MAP.","NAD83",4490,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391038108475601","LOMA DRAIN AT MOUTH","Stream","",14010005,NA,"",NA,"",39.177203,-108.7995464,24000,1,"seconds","Interpolated from MAP.","NAD83",4460,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391040107565801","BIG CK ABV SS DITCH NR RD 59 NR PLATEAU CITY, CO","Stream","",14010005,NA,"",NA,"",39.1777528,-107.9495667,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",7210,"feet",40,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391043108394200","ADOBE CREEK AT L RD NR FRUITA, CO","Stream","",14010005,NA,"",NA,"",39.1785915,-108.6622638,24000,0.1,"seconds","Interpolated from MAP.","NAD83",4650,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391045108041501","BULL CK AT MESA COUNTY RD KE NR MOLINA, CO","Stream","",14010005,NA,"",NA,"",39.1792833,-108.0709472,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",5605,"feet",40,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391055107570401","SOUTH SIDE DITCH AT RD 59 NR COLLBRAN, CO","Stream: Ditch","",14010005,NA,"",NA,"",39.1819806,-107.9510806,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",7140,"feet",40,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391058107544401","SWANEE CK AT RD LE NR COLLBRAN, CO","Stream","",14010005,NA,"",NA,"",39.1827028,-107.9122556,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",7005,"feet",40,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391058108022901","COTTONWOOD CK AT RD KE NR MOLINA, CO","Stream","",14010005,NA,"",NA,"",39.1826833,-108.0413333,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",5895,"feet",40,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391059107542501","NEGRO CK AT RD LE NR COLLBRAN, CO","Stream","",14010005,NA,"",NA,"",39.1829278,-107.9070889,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",7080,"feet",40,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391100107540601","SOUTH SIDE DITCH AT RD LE NR COLLBRAN, CO","Stream: Ditch","",14010005,NA,"",NA,"",39.1832528,-107.9017306,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",7150,"feet",40,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391100108391400","ADOBE CREEK AT 21.5 RD NR FRUITA, CO","Stream","",14010005,NA,"",NA,"",39.1834526,-108.6545969,24000,0.1,"seconds","Interpolated from MAP.","NAD83",4670,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391101107535101","GROVE CK AT RD LE NR COLLBRAN, CO","Stream","",14010005,NA,"",NA,"",39.1836111,-107.8975,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",7225,"feet",40,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391102107532601","SPRING CK AT RD LE ABV YT RESERVOIR NR COLLBRAN","Stream","",14010005,NA,"",NA,"",39.1838889,-107.8905556,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",7255,"feet",40,"feet","Interpolated from Digital Elevation Model","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391108107552401","LITTLE CK AT RD LE NR COLLBRAN, CO","Stream","",14010005,NA,"",NA,"",39.1855389,-107.9233889,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",6895,"feet",40,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391108108063601","SPRING CK NR MOUTH AT HWY 330 NR MESA, CO","Stream","",14010005,NA,"",NA,"",39.1854333,-108.1098833,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",5280,"feet",40,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391112108063301","PLATEAU CK ABV SPRING CK AT HWY 330 NR MOLINA, CO","Stream","",14010005,NA,"",NA,"",39.1867361,-108.1090861,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",5280,"feet",40,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391113107581501","SILVER GAGE DITCH AT RD 58 NR PLATEAU CITY, CO","Stream: Ditch","",14010005,NA,"",NA,"",39.1868083,-107.9707333,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",6790,"feet",40,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391115108043901","BULL CK AT STATE HWY 330 NR MOLINA, CO","Stream","",14010005,NA,"",NA,"",39.1873722,-108.0774972,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",5420,"feet",40,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391118108054301","GERRY CK RESERVOIRS OUTLET NR MESA, CO","Stream","",14010005,NA,"",NA,"",39.1883333,-108.0952778,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",5315,"feet",40,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391119108033101","COOTONWOOD CK AT RD LE 0.5 AT MOLINA, CO","Stream","",14010005,NA,"",NA,"",39.1885972,-108.0586694,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",5600,"feet",40,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391119108045601","PLATEAU CK BLW BULL CK AT HWY 330 NR MOLINA, CO","Stream","",14010005,NA,"",NA,"",39.1885389,-108.0821,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",5360,"feet",40,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391119108082301","MESA CK NR MOUTH AT HWY 330 NR MESA, CO","Stream","",14010005,NA,"",NA,"",39.1885611,-108.1395889,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",5180,"feet",40,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391119108384100","ADOBE CREEK AT 22 RD NR FRUITA, CO","Stream","",14010005,NA,"",NA,"",39.1885358,-108.6454022,24000,0.1,"seconds","Interpolated from MAP.","NAD83",4710,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391119108405401","LITTLE SALT WASH AT 20 ROAD","Stream","",14010005,NA,"",NA,"",39.1885914,-108.68232,24000,1,"seconds","Interpolated from MAP.","NAD83",4640,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391121108082601","PLATEAU CR BLW MESA CK AT SH 65 NEAR MESA, CO","Stream","",14010005,NA,"",NA,"",39.1892056,-108.1404306,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",5175,"feet",40,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391122108075301","COON CK AT MOUTH NR MESA, CO","Stream","",14010005,NA,"",NA,"",39.1894944,-108.1312694,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",5200,"feet",40,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391134108471101","EAST BRANCH OF REED WASH AT M RD","Stream","",14010005,NA,"",NA,"",39.1927583,-108.7870459,24000,1,"seconds","Interpolated from MAP.","NAD83",4480,"feet",10,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391136108383100","ADOBE CREEK AT M RD NEAR FRUITA, CO","Stream","",14010005,NA,"",NA,"",39.1932858,-108.642527,24000,0.1,"seconds","Interpolated from MAP.","NAD83",4725,"feet",20,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
"USGS-CO","USGS Colorado Water Science Center","USGS-391140108001001","DEACON GULCH AT RD ME NR PLATEAU CITY, CO","Stream","",14010005,NA,"",NA,"",39.1945389,-108.0028611,24000,0.1,"seconds","Mapping grade GPS unit (handheld accuracy range 12 to 40 ft)","NAD83",6230,"feet",40,"feet","Interpolated from topographic map.","NGVD29","US",8,77,NA,NA,NA,NA,NA,NA,NA,NA,"NWIS"
